id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_0710dcaf82eab851fed3d7,Smith Cocktail,KEEP,,0,1,2,3,1,1
cck_072552553720d5fa9aa2f8,Tea,FIX,abv_missing;glass_type_field_missing,1,0,4,6,0,1
cck_0760fb5203230625d22855,Boston (cocktail),KEEP,,1,0,1,4,0,1
cck_07656006e2f1a4452f01d2,Pineapple Paloma,KEEP,,1,0,4,6,1,1
cck_0765ea124758d986aa05f6,Lanique,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_078579b059b22063c97998,Algonquin,KEEP,,1,0,1,3,1,1
cck_078771790b9568ca4a3279,Vodka Slime,KEEP,,1,0,2,3,1,1
cck_079a3847909ecf9978faab,Three Dollar Shoes,FIX,abv_missing;no_image_modern;glass_type_field_missing;method_field_missing,0,0,7,4,0,1
cck_07a78e91a84ba491d6f2ed,Hot Milk Punch,KEEP,,0,1,5,0,1,1
cck_07b1af67db9da2bc8c6780,White Russian Cocktail,FIX,abv_missing;no_image_modern;glass_type_field_missing;method_field_missing,0,0,3,3,0,1
cck_07ba84849952e9cf25567e,Gibson Cocktail,KEEP,,0,1,3,0,1,1
cck_07bf97c65603c1a0ec26b0,Hot Brandy Sling,KEEP,,0,1,1,2,1,1
cck_07cc678d2bbb89a77b7591,Williams Cocktail,FIX,abv_missing;glass_type_field_missing,0,1,2,0,0,1
cck_07d32316c0a08f6a33da6f,Tom and Jerry,KEEP,,1,1,11,0,1,1
cck_07e01ad6d38d303afe03bf,Marguerite Cocktail,FIX,abv_missing;glass_type_field_missing,0,1,3,0,0,1
cck_07fa5f4dc345579789b55f,Gin Fix,FIX,abv_missing;glass_type_field_missing,0,1,2,0,0,1
cck_0828b0d3d8eb3737781f82,Mogwa-cha,DELETE,single_ing_no_measure,1,0,4,1,0,1
cck_082a224625345cecb93e08,Canadian Whiskey Sour,DELETE,all_undefined_ingredients,0,1,7,5,1,1
cck_085681ff2d0f02324be800,Black Flip,KEEP,,1,0,4,4,1,1
cck_08939a8204934b88d14915,sparkling cocktail,DELETE,single_ing_no_measure,0,0,4,1,0,1
